route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000085,OCESN2242F2684706:2023-12-14T00:31:20Z,2242,0,142,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000060,OCESN2242F2773885:2023-12-14T00:31:20Z,2242,0,143,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000086,OCESN2242F2779800:2024-02-03T00:31:17Z,2242,0,144,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000087,OCESN2242F2779987:2024-02-08T00:29:23Z,2242,0,145,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000006,OCESN2247F2542053:2023-11-25T04:46:39Z,2247,1,146,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000088,OCESN2247F2687783:2024-02-05T00:32:25Z,2247,1,147,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000089,OCESN2252F2804409:2024-02-07T00:29:39Z,2252,0,148,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000090,OCESN2253F2573313:2024-02-08T00:29:23Z,2253,1,149,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000066,OCESN2260F3016810:2024-02-04T00:41:58Z,2260,0,150,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000011,OCESN2262F2189753:2023-12-22T00:50:14Z,2262,0,151,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000068,OCESN2262F2414329:2024-02-03T00:31:17Z,2262,0,152,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000006,OCESN2264F2685533:2023-11-25T04:46:39Z,2264,0,153,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000091,OCESN2264F2781734:2024-02-03T00:31:17Z,2264,0,154,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000061,OCESN2264F2844866:2023-12-23T00:38:30Z,2264,0,155,
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,000009,OCESN2266F2239962:2024-02-03T00:31:17Z,2266,0,156,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000006,OCESN2350F2665368:2024-01-17T00:56:31Z,2350,0,157,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000061,OCESN2350F2780214:2024-01-06T00:37:34Z,2350,0,158,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000092,OCESN2350F3023926:2024-02-08T00:29:23Z,2350,0,159,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000011,OCESN2352F2694526:2023-12-23T00:38:30Z,2352,0,160,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000032,OCESN2352F2983295:2024-02-07T00:29:39Z,2352,0,161,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000075,OCESN2352F3016276:2024-01-30T00:44:05Z,2352,0,162,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000002,OCESN2356F2892751:2023-12-29T00:37:19Z,2356,0,163,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000006,OCESN2356F2979657:2024-02-02T00:30:07Z,2356,0,164,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000093,OCESN2356F2997904:2024-02-08T00:29:23Z,2356,0,165,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000030,OCESN2356F3013576:2024-02-02T00:30:07Z,2356,0,166,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000094,OCESN2358F2532806:2024-02-06T00:30:41Z,2358,0,167,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000095,OCESN2358F2545431:2024-02-08T00:29:23Z,2358,0,168,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000075,OCESN2362F2542277:2024-02-07T00:29:39Z,2362,0,169,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000096,OCESN2362F2542279:2024-02-08T00:29:23Z,2362,0,170,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000032,OCESN2362F2542378:2024-02-02T00:30:07Z,2362,0,171,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000033,OCESN2362F2666964:2023-11-20T00:36:28Z,2362,0,172,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000011,OCESN2362F2782398:2023-12-22T00:50:14Z,2362,0,173,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000097,OCESN2362F2842062:2024-02-03T00:31:17Z,2362,0,174,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000030,OCESN2362F2842063:2023-11-30T00:36:29Z,2362,0,175,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000006,OCESN2363F2542580:2023-11-25T04:46:39Z,2363,1,176,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000002,OCESN2363F2542925:2024-02-03T00:31:17Z,2363,1,177,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000090,OCESN2363F3008630:2024-02-08T00:29:23Z,2363,1,178,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000095,OCESN2365F2998572:2024-02-07T00:29:39Z,2365,1,179,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000094,OCESN2365F3016680:2024-02-07T00:29:39Z,2365,1,180,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000064,OCESN2369F2694532:2023-12-16T00:32:33Z,2369,1,181,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000098,OCESN2369F2940577:2024-02-08T00:29:23Z,2369,1,182,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000021,OCESN2369F3017934:2024-02-07T00:29:39Z,2369,1,183,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000099,OCESN2369F3037992:2024-02-08T00:29:23Z,2369,1,184,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000006,OCESN2377F2542619:2023-11-25T04:46:39Z,2377,1,185,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000100,OCESN2377F2573301:2024-02-03T00:31:17Z,2377,1,186,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000032,OCESN2377F2668034:2024-02-02T00:30:07Z,2377,1,187,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000101,OCESN2377F2803902:2023-12-22T00:50:14Z,2377,1,188,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000096,OCESN2377F2891928:2024-02-08T00:29:23Z,2377,1,189,
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,000066,OCESN2377F2891929:2024-02-04T00:41:58Z,2377,1,190,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000089,OCESN2400F2842261:2024-02-06T00:30:41Z,2400,0,191,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000096,OCESN2404F2976866:2024-02-08T00:29:23Z,2404,0,192,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000066,OCESN2404F3008739:2024-02-03T00:31:17Z,2404,0,193,
